Code,Name,City,Latitude,Longitude
L52,Oceano County Airport,Oceano,35.10147222,-120.6223611
GFL,Floyd Bennett Memorial Airport,Queensbury,43.341222,-73.610305
5B2,Saratoga County Airport,Ballston Spa,43.050722,-73.861638
K27,Burrello-Mechanicville Airport,Mechanicville,42.893133,-73.66845
CGC,Crystal River,Crystal River,28.8676111,-82.5741111
MTN,Martin State,Baltimore,39.3256667,-76.4137778
LHM,Lincoln Regional Airport Karl Harder Field,Lincoln,38.9091667,-121.3513333
FZI,Fostoria Metropolitan Airport,Fostoria,41.1908333,-83.3930833
IZG,Eastern Slopes Regional,Fryeburg,43.9911389,-70.9478889
NEW,Lakefront,New Orleans,30.0424167,-90.02825
COE,Pappy Boyington,Coeur d'Alene,47.7743056,-116.8195833
BMT,Beaumont Municipal,Beaumont,30.0702044,-94.2150967
DNV,Vermilion Regional,Danville,40.1996944,-87.5955278
COI,Merritt Island Airport,Cocoa,28.3416111,-80.6854722
X59,Valkaria Municipal,Valkaria,27.9608611,-80.5583333
TIX,Space Coast Reg'l Airport,Titusville,28.5148,-80.7992278
X26,Sebastian Municipal,Sebastian,27.81325,-80.4955833
1H2,Effingham Memorial Airport,Effingham,39.07,-88.534
AAP,Andrau Airport,Houston,29.43,-95.35
FCM,Flying Cloud Airport,Eden Prairie,44.4938,-93.2726
OJC,Johnson County Airport,Olathe,38.5051,-94.4415
X04,Apopka,Orlando,28.707222,-81.581667
OQN,Brandywine Airport,West Goshen Township,39.5924,-75.3455
MNZ,Manassas,Manassas,38.721389,-77.515556
UT3,Hite Airport,Hanksville,37.8916547,-110.3840289
2H0,Shelby County Airport,Shelbyville,39.410556,-88.845556
1G4,Grand Canyon West Airport,Peach Springs,35.899904,-113.815674
9G1,Rock Airport,Tarentum,40.6035463,-79.8261189
2B2,Plum Island Airport,Newburyport,42.7953611,-70.8394444
LKK,Kulik Lake Airport,Kulik Lake,58.96591,-155.108089
PTA,Port Alsworth Airport,Port alsworth,60.208281,-154.306586
FDW,Fairfield County Airport,Winnsboro,34.315472,-81.108806
DAW,Skyhaven Airport,Rochester,43.2840556,-70.9292778
PRL,Port Oceanic Airport,Port Oceanic,60.2083333,-147.8194444
EWK,Newton City-County Airport,Newton,38.0570785,-97.2752278
TZR,Bolton Field,Columbus,39.901111,-83.136944
W04,Ocean Shores Municipal,Ocean Shores,46.5995,-124.0854
55S,Packwood,Packwood,46.3625,-121.4067
FBR,Fort Bridger,Fort Bridger,41.236,-110.2436
S40,Prosser,Prosser,46.128,-119.4773
CLS,Chehalis-Centralia,Chehalis,46.4062,-122.5897
M94,Desert Aire,Mattawa,46.4124,-119.5518
S30,Lebanon State,Lebanon,44.3179,-122.5577
EVW,Evanston-Uinta CO Burns Fld,Evanston,41.1649,-111.0208
K83,Sabetha Municipal,Sabetha,39.5425,-95.4677
LRO,Mount Pleasant Regional-Faison Field,Mount Pleasant,32.5387,-79.4697
ACJ,Jimmy Carter Regional,Americus,32.0665,-84.1133
EUF,Weedon Field,Eufala,31.5708,-85.0774
6J4,Saluda County,Saluda,33.5561,-81.4768
MQI,Dare County Regional,Manteo,35.5514,-75.4173
AUO,Auburn University Regional,Auburn,32.3691,-85.2604
CZG,Tri-Cities,Endicott,42.0471,-76.0578
EKY,Bessemer,Bessemer,33.1876,-86.5558
A50,Colorado Springs East,Ellicott,38.87,-104.41
MIC,Crystal Airport,Crystal,45.0343,-93.2114
23M,Clarke CO,Quitman,32.0517,-88.4434
DBN,W H Barron Field,Dublin,32.3388,-82.591
UCA,Union Station,Utica,43.104167,-75.223333
CVO,Corvallis Muni,Corvallis,44.5067,-123.2915
CWT,Chatsworth Station,Chatsworth,34.256944,-118.598889
DHB,Deer Harbor Seaplane,Deer Harbor,48.618397,-123.00596
OLT,San Diego Old Town Transit Center,San Diego,32.7552,-117.1995
